Iteration,Times,V_A,V_B
1,"[-0.00103102 -0.00102974 -0.00102846 ...  0.00928706  0.00928834
  0.00928962]",[4.91500595 4.91500595 4.91500595 ... 0.02624592 0.02624592 5.00534074],[0.27405622 0.27405622 0.27405622 ... 0.09155553 0.09155553 0.54780725]
2,"[-0.00103104 -0.00102976 -0.00102848 ...  0.00928704  0.00928832
  0.0092896 ]","[ 4.91500595  4.91500595  4.91500595 ...  0.02624592 -0.06408887
  5.00534074]",[0.27405622 0.27405622 0.27405622 ... 0.09155553 0.09155553 0.4565569 ]
3,"[-0.00103103 -0.00102975 -0.00102847 ...  0.00928705  0.00928833
  0.00928961]",[4.82436598 4.91500595 4.91500595 ... 0.02624592 5.18662069 5.00534074],[0.27405622 0.27405622 0.27405622 ... 0.09155553 0.09155553 0.54780725]
4,"[-0.00103104 -0.00102976 -0.00102848 ...  0.00928704  0.00928832
  0.0092896 ]",[4.91500595 4.91500595 4.91500595 ... 0.02624592 5.00534074 5.00534074],[0.27405622 0.27405622 0.27405622 ... 0.09155553 0.4565569  0.54780725]
5,"[-0.00103103 -0.00102975 -0.00102847 ...  0.00928705  0.00928833
  0.00928961]","[ 4.91500595  4.91500595  4.91500595 ... -0.06408887  0.02624592
  5.00534074]",[0.27405622 0.27405622 0.27405622 ... 0.09155553 0.09155553 0.54780725]
6,"[-0.00103103 -0.00102975 -0.00102847 ...  0.00928705  0.00928833
  0.00928961]",[4.91500595 4.91500595 4.82436598 ... 0.02624592 0.02624592 5.00534074],[0.36530656 0.27405622 0.27405622 ... 0.09155553 0.09155553 0.54780725]
7,"[-0.00103102 -0.00102974 -0.00102846 ...  0.00928706  0.00928834
  0.00928962]",[4.91500595 4.91500595 4.91500595 ... 0.02624592 5.00534074 4.91500595],[0.27405622 0.27405622 0.18280587 ... 0.09155553 0.36530656 0.54780725]
8,"[-0.00103101 -0.00102973 -0.00102845 ...  0.00928707  0.00928835
  0.00928963]","[ 4.91500595  4.91500595  4.91500595 ... -0.06408887  4.91500595
  5.00534074]",[0.27405622 0.27405622 0.27405622 ... 0.09155553 0.4565569  0.54780725]
9,"[-0.00103103 -0.00102975 -0.00102847 ...  0.00928705  0.00928833
  0.00928961]",[4.91500595 4.91500595 4.91500595 ... 0.02624592 0.02624592 5.00534074],[0.27405622 0.27405622 0.27405622 ... 0.09155553 0.09155553 0.54780725]
10,"[-0.00103102 -0.00102974 -0.00102846 ...  0.00928706  0.00928834
  0.00928962]",[4.82436598 4.91500595 4.91500595 ... 0.02624592 5.00534074 5.00534074],[0.18280587 0.27405622 0.27405622 ... 0.09155553 0.18280587 0.54780725]
11,"[-0.00103101 -0.00102973 -0.00102845 ...  0.00928707  0.00928835
  0.00928963]",[4.91500595 4.91500595 4.91500595 ... 0.02624592 0.02624592 5.00534074],[0.27405622 0.27405622 0.27405622 ... 0.09155553 0.09155553 0.54780725]
12,"[-0.00103102 -0.00102974 -0.00102846 ...  0.00928706  0.00928834
  0.00928962]",[4.91500595 4.91500595 4.91500595 ... 0.02624592 4.19049654 5.00534074],"[2.74056215e-01 2.74056215e-01 2.74056215e-01 ... 9.15555284e-02
 3.05185095e-04 5.47807245e-01]"
13,"[-0.00103104 -0.00102976 -0.00102848 ...  0.00928704  0.00928832
  0.0092896 ]",[4.91500595 4.91500595 4.91500595 ... 0.02624592 0.02624592 5.00534074],"[2.74056215e-01 2.74056215e-01 2.74056215e-01 ... 3.05185095e-04
 9.15555284e-02 5.47807245e-01]"
14,"[-0.00103102 -0.00102974 -0.00102846 ...  0.00928706  0.00928834
  0.00928962]","[ 4.91500595  4.91500595  4.91500595 ...  0.02624592 -0.06408887
  5.00534074]",[0.27405622 0.27405622 0.27405622 ... 0.09155553 0.09155553 0.54780725]
15,"[-0.00103104 -0.00102976 -0.00102848 ...  0.00928704  0.00928832
  0.0092896 ]",[4.91500595 4.91500595 4.91500595 ... 0.02624592 0.02624592 5.00534074],[0.27405622 0.27405622 0.27405622 ... 0.09155553 0.09155553 0.54780725]
16,"[-0.00103102 -0.00102974 -0.00102846 ...  0.00928706  0.00928834
  0.00928962]",[4.82436598 4.91500595 4.91500595 ... 0.02624592 5.18662069 5.00534074],"[2.74056215e-01 2.74056215e-01 2.74056215e-01 ... 9.15555284e-02
 3.05185095e-04 5.47807245e-01]"
17,"[-0.00103103 -0.00102975 -0.00102847 ...  0.00928705  0.00928833
  0.00928961]","[ 4.91500595  4.91500595  4.91500595 ... -0.06408887  5.18662069
  5.00534074]","[2.74056215e-01 2.74056215e-01 2.74056215e-01 ... 9.15555284e-02
 3.05185095e-04 5.47807245e-01]"
18,"[-0.00103102 -0.00102974 -0.00102846 ...  0.00928706  0.00928834
  0.00928962]",[4.91500595 4.91500595 4.91500595 ... 0.02624592 4.55275124 5.00534074],"[2.74056215e-01 2.74056215e-01 2.74056215e-01 ... 3.05185095e-04
 3.05185095e-04 5.47807245e-01]"
19,"[-0.00103102 -0.00102974 -0.00102846 ...  0.00928706  0.00928834
  0.00928962]","[ 4.91500595  4.91500595  4.91500595 ... -0.06408887  0.02624592
  4.91500595]",[0.27405622 0.27405622 0.27405622 ... 0.09155553 0.09155553 0.54780725]
20,"[-0.00103102 -0.00102974 -0.00102846 ...  0.00928706  0.00928834
  0.00928962]","[ 4.91500595  4.91500595  4.91500595 ...  0.02624592 -0.06408887
  5.00534074]",[0.27405622 0.27405622 0.27405622 ... 0.09155553 0.09155553 0.54780725]
21,"[-0.00103099 -0.00102971 -0.00102843 ...  0.00928709  0.00928837
  0.00928965]","[ 4.91500595  4.91500595  4.91500595 ... -0.06408887  0.02624592
  5.00534074]",[0.27405622 0.27405622 0.27405622 ... 0.09155553 0.09155553 0.4565569 ]
22,"[-0.00103102 -0.00102974 -0.00102846 ...  0.00928706  0.00928834
  0.00928962]",[4.91500595 4.91500595 4.91500595 ... 0.02624592 5.00534074 5.00534074],[0.27405622 0.18280587 0.27405622 ... 0.09155553 0.27405622 0.54780725]
23,"[-0.0010311  -0.00102982 -0.00102854 ...  0.00928698  0.00928826
  0.00928954]","[ 4.91500595  4.91500595  4.91500595 ... -0.06408887 -0.06408887
  5.00534074]",[0.27405622 0.27405622 0.27405622 ... 0.09155553 0.09155553 0.4565569 ]
24,"[-0.00103102 -0.00102974 -0.00102846 ...  0.00928706  0.00928834
  0.00928962]",[4.91500595 4.91500595 4.91500595 ... 0.02624592 0.02624592 5.00534074],[0.27405622 0.27405622 0.27405622 ... 0.09155553 0.09155553 0.54780725]
25,"[-0.00103101 -0.00102973 -0.00102845 ...  0.00928707  0.00928835
  0.00928963]",[4.91500595 4.91500595 4.91500595 ... 0.02624592 5.09598071 5.09598071],[0.27405622 0.27405622 0.27405622 ... 0.09155553 0.54780725 0.54780725]
26,"[-0.00103099 -0.00102971 -0.00102843 ...  0.00928709  0.00928837
  0.00928965]","[ 4.91500595  4.91500595  4.91500595 ... -0.06408887 -0.06408887
  5.00534074]",[0.27405622 0.27405622 0.27405622 ... 0.09155553 0.09155553 0.54780725]
27,"[-0.00103102 -0.00102974 -0.00102846 ...  0.00928706  0.00928834
  0.00928962]",[4.91500595 4.91500595 4.91500595 ... 0.02624592 0.02624592 5.00534074],"[2.74056215e-01 2.74056215e-01 2.74056215e-01 ... 3.05185095e-04
 9.15555284e-02 5.47807245e-01]"
28,"[-0.00103095 -0.00102967 -0.00102839 ...  0.00928713  0.00928841
  0.00928969]","[ 4.91500595  4.91500595  4.91500595 ...  0.02624592 -0.06408887
  5.00534074]",[0.27405622 0.27405622 0.27405622 ... 0.09155553 0.09155553 0.4565569 ]
29,"[-0.00103102 -0.00102974 -0.00102846 ...  0.00928706  0.00928834
  0.00928962]",[4.91500595 4.91500595 4.91500595 ... 0.02624592 5.18662069 5.00534074],[0.27405622 0.27405622 0.27405622 ... 0.09155553 0.09155553 0.54780725]
30,"[-0.00103104 -0.00102976 -0.00102848 ...  0.00928704  0.00928832
  0.0092896 ]","[ 4.91500595  4.91500595  4.91500595 ... -0.06408887  4.82436598
  5.00534074]",[0.27405622 0.27405622 0.27405622 ... 0.09155553 0.09155553 0.54780725]
31,"[-0.00103104 -0.00102976 -0.00102848 ...  0.00928704  0.00928832
  0.0092896 ]",[4.82436598 4.91500595 4.91500595 ... 0.02624592 0.02624592 5.00534074],[0.27405622 0.27405622 0.27405622 ... 0.09155553 0.09155553 0.54780725]
32,"[-0.00103101 -0.00102973 -0.00102845 ...  0.00928707  0.00928835
  0.00928963]",[4.91500595 4.91500595 4.82436598 ... 0.02624592 0.02624592 5.00534074],[0.27405622 0.27405622 0.27405622 ... 0.09155553 0.09155553 0.54780725]
33,"[-0.00103101 -0.00102973 -0.00102845 ...  0.00928707  0.00928835
  0.00928963]","[ 4.91500595  4.91500595  4.91500595 ...  0.02624592 -0.06408887
  5.00534074]",[0.27405622 0.27405622 0.27405622 ... 0.09155553 0.09155553 0.54780725]
34,"[-0.00103102 -0.00102974 -0.00102846 ...  0.00928706  0.00928834
  0.00928962]",[5.00534074 4.91500595 4.91500595 ... 0.02624592 4.28113651 5.00534074],"[3.65306558e-01 2.74056215e-01 2.74056215e-01 ... 9.15555284e-02
 3.05185095e-04 5.47807245e-01]"
35,"[-0.00103102 -0.00102974 -0.00102846 ...  0.00928706  0.00928833
  0.00928962]","[ 4.91500595  4.91500595  4.91500595 ... -0.06408887  5.00534074
  5.00534074]",[0.27405622 0.27405622 0.27405622 ... 0.09155553 0.54780725 0.54780725]
36,"[-0.00103104 -0.00102976 -0.00102848 ...  0.00928704  0.00928832
  0.0092896 ]",[4.91500595 4.91500595 4.82436598 ... 0.02624592 4.91500595 5.00534074],[0.27405622 0.27405622 0.18280587 ... 0.09155553 0.09155553 0.54780725]
37,"[-0.001031   -0.00102972 -0.00102844 ...  0.00928708  0.00928836
  0.00928964]",[4.91500595 4.91500595 4.91500595 ... 0.02624592 0.02624592 4.91500595],[0.27405622 0.27405622 0.27405622 ... 0.09155553 0.09155553 0.4565569 ]
38,"[-0.00103105 -0.00102977 -0.00102849 ...  0.00928703  0.00928831
  0.00928959]",[4.91500595 4.91500595 4.91500595 ... 0.02624592 4.733726   5.00534074],"[2.74056215e-01 2.74056215e-01 1.82805872e-01 ... 9.15555284e-02
 3.05185095e-04 5.47807245e-01]"
39,"[-0.00103101 -0.00102973 -0.00102845 ...  0.00928707  0.00928835
  0.00928963]","[ 4.91500595  4.91500595  4.91500595 ... -0.06408887  5.00534074
  5.00534074]",[0.27405622 0.27405622 0.27405622 ... 0.09155553 0.4565569  0.54780725]
40,"[-0.00103102 -0.00102974 -0.00102846 ...  0.00928706  0.00928834
  0.00928962]",[4.91500595 4.91500595 4.91500595 ... 0.02624592 0.02624592 4.91500595],"[2.74056215e-01 2.74056215e-01 2.74056215e-01 ... 3.05185095e-04
 3.05185095e-04 4.56556902e-01]"
41,"[-0.00103102 -0.00102974 -0.00102846 ...  0.00928706  0.00928834
  0.00928962]","[ 4.91500595  4.91500595  4.91500595 ... -0.06408887 -0.06408887
  4.91500595]",[0.27405622 0.27405622 0.27405622 ... 0.09155553 0.09155553 0.4565569 ]
42,"[-0.00103102 -0.00102974 -0.00102846 ...  0.00928706  0.00928834
  0.00928962]","[ 4.91500595  4.91500595  4.91500595 ... -0.06408887  5.18662069
  5.00534074]","[2.74056215e-01 1.82805872e-01 2.74056215e-01 ... 3.05185095e-04
 3.05185095e-04 5.47807245e-01]"
43,"[-0.001031   -0.00102972 -0.00102845 ...  0.00928707  0.00928835
  0.00928963]",[4.82436598 4.82436598 4.91500595 ... 0.02624592 0.02624592 5.00534074],[0.27405622 0.27405622 0.27405622 ... 0.09155553 0.09155553 0.54780725]
44,"[-0.00103103 -0.00102975 -0.00102847 ...  0.00928705  0.00928833
  0.00928961]",[4.91500595 4.91500595 4.91500595 ... 0.02624592 5.00534074 5.00534074],[0.27405622 0.27405622 0.27405622 ... 0.09155553 0.4565569  0.54780725]
45,"[-0.00103103 -0.00102975 -0.00102847 ...  0.00928705  0.00928833
  0.00928961]",[4.91500595 4.91500595 4.91500595 ... 0.02624592 4.91500595 5.00534074],[0.27405622 0.27405622 0.27405622 ... 0.09155553 0.4565569  0.54780725]
46,"[-0.00103102 -0.00102974 -0.00102846 ...  0.00928706  0.00928834
  0.00928962]",[4.91500595 4.82436598 4.91500595 ... 0.02624592 5.00534074 5.00534074],"[2.74056215e-01 2.74056215e-01 2.74056215e-01 ... 3.05185095e-04
 4.56556902e-01 5.47807245e-01]"
47,"[-0.00103104 -0.00102976 -0.00102848 ...  0.00928704  0.00928832
  0.0092896 ]",[4.91500595 4.91500595 5.00534074 ... 0.02624592 0.02624592 5.00534074],[0.27405622 0.27405622 0.27405622 ... 0.09155553 0.09155553 0.54780725]
48,"[-0.00103101 -0.00102973 -0.00102845 ...  0.00928707  0.00928835
  0.00928963]","[ 4.91500595  4.82436598  4.91500595 ... -0.06408887  0.02624592
  5.00534074]",[0.27405622 0.27405622 0.27405622 ... 0.09155553 0.09155553 0.54780725]
49,"[-0.00103096 -0.00102968 -0.0010284  ...  0.00928712  0.0092884
  0.00928968]",[4.91500595 4.91500595 4.91500595 ... 0.02624592 0.02624592 5.00534074],[0.27405622 0.27405622 0.27405622 ... 0.09155553 0.09155553 0.4565569 ]
50,"[-0.00103104 -0.00102976 -0.00102848 ...  0.00928704  0.00928832
  0.0092896 ]",[4.91500595 4.91500595 4.91500595 ... 0.11688589 0.02624592 5.00534074],[0.27405622 0.27405622 0.27405622 ... 0.09155553 0.09155553 0.54780725]
51,"[-0.00103101 -0.00102973 -0.00102845 ...  0.00928707  0.00928835
  0.00928963]",[4.91500595 4.91500595 4.82436598 ... 0.02624592 5.27695547 5.00534074],[0.27405622 0.27405622 0.27405622 ... 0.09155553 0.09155553 0.54780725]
52,"[-0.00103101 -0.00102973 -0.00102845 ...  0.00928707  0.00928835
  0.00928963]",[4.91500595 4.91500595 4.91500595 ... 0.02624592 4.64339122 5.00534074],[0.27405622 0.27405622 0.27405622 ... 0.09155553 0.09155553 0.54780725]
53,"[-0.00103111 -0.00102983 -0.00102855 ...  0.00928697  0.00928825
  0.00928952]","[ 4.91500595  4.91500595  4.91500595 ...  0.02624592 -0.06408887
  5.00534074]",[0.27405622 0.27405622 0.27405622 ... 0.09155553 0.09155553 0.4565569 ]
54,"[-0.00103103 -0.00102975 -0.00102847 ...  0.00928705  0.00928833
  0.00928961]",[4.91500595 4.91500595 4.91500595 ... 0.02624592 0.02624592 5.00534074],[0.27405622 0.27405622 0.27405622 ... 0.09155553 0.09155553 0.54780725]
55,"[-0.00103102 -0.00102974 -0.00102846 ...  0.00928706  0.00928834
  0.00928962]","[ 4.91500595  4.91500595  4.82436598 ...  0.02624592 -0.06408887
  5.00534074]","[2.74056215e-01 1.82805872e-01 2.74056215e-01 ... 3.05185095e-04
 9.15555284e-02 5.47807245e-01]"
56,"[-0.00103103 -0.00102975 -0.00102847 ...  0.00928705  0.00928833
  0.00928961]","[ 4.91500595  4.91500595  4.91500595 ...  0.02624592 -0.06408887
  4.91500595]",[0.27405622 0.27405622 0.27405622 ... 0.09155553 0.09155553 0.54780725]
57,"[-0.00103104 -0.00102976 -0.00102848 ...  0.00928704  0.00928832
  0.0092896 ]","[ 4.91500595  4.91500595  4.91500595 ... -0.06408887  5.00534074
  4.91500595]",[0.27405622 0.27405622 0.27405622 ... 0.09155553 0.54780725 0.54780725]
58,"[-0.00103101 -0.00102973 -0.00102845 ...  0.00928707  0.00928835
  0.00928963]","[ 4.91500595  5.00534074  4.91500595 ... -0.06408887  4.91500595
  5.00534074]",[0.27405622 0.27405622 0.27405622 ... 0.09155553 0.54780725 0.54780725]
59,"[-0.00103102 -0.00102974 -0.00102846 ...  0.00928706  0.00928834
  0.00928962]",[4.91500595 4.91500595 4.91500595 ... 0.02624592 4.733726   5.00534074],"[2.74056215e-01 2.74056215e-01 2.74056215e-01 ... 3.05185095e-04
 9.15555284e-02 5.47807245e-01]"
60,"[-0.00103101 -0.00102973 -0.00102845 ...  0.00928707  0.00928835
  0.00928963]",[4.91500595 4.91500595 4.91500595 ... 0.02624592 5.18662069 5.00534074],[0.27405622 0.27405622 0.27405622 ... 0.09155553 0.4565569  0.54780725]
61,"[-0.00103103 -0.00102975 -0.00102847 ...  0.00928705  0.00928833
  0.00928961]","[ 4.91500595  4.91500595  4.91500595 ... -0.06408887 -0.06408887
  5.00534074]",[0.27405622 0.27405622 0.27405622 ... 0.09155553 0.09155553 0.54780725]
62,"[-0.00103101 -0.00102973 -0.00102845 ...  0.00928707  0.00928835
  0.00928963]","[ 4.91500595  4.91500595  4.91500595 ... -0.06408887  5.18662069
  5.00534074]","[2.74056215e-01 2.74056215e-01 1.82805872e-01 ... 9.15555284e-02
 3.05185095e-04 5.47807245e-01]"
63,"[-0.00103096 -0.00102968 -0.0010284  ...  0.00928712  0.0092884
  0.00928968]",[4.91500595 4.91500595 4.91500595 ... 0.02624592 0.02624592 5.00534074],[0.27405622 0.27405622 0.27405622 ... 0.09155553 0.09155553 0.54780725]
64,"[-0.00103101 -0.00102973 -0.00102845 ...  0.00928707  0.00928835
  0.00928963]","[ 4.91500595  4.91500595  4.91500595 ...  0.02624592 -0.06408887
  5.00534074]",[0.27405622 0.27405622 0.27405622 ... 0.09155553 0.09155553 0.54780725]
65,"[-0.00103104 -0.00102976 -0.00102848 ...  0.00928704  0.00928832
  0.0092896 ]","[ 4.91500595  4.91500595  4.91500595 ... -0.06408887  5.18662069
  5.00534074]","[2.74056215e-01 2.74056215e-01 2.74056215e-01 ... 3.05185095e-04
 9.15555284e-02 5.47807245e-01]"
66,"[-0.00103104 -0.00102976 -0.00102848 ...  0.00928704  0.00928832
  0.0092896 ]","[ 4.91500595  4.91500595  4.91500595 ... -0.06408887  5.18662069
  5.00534074]",[0.27405622 0.27405622 0.27405622 ... 0.09155553 0.09155553 0.54780725]
67,"[-0.00103103 -0.00102975 -0.00102847 ...  0.00928705  0.00928833
  0.00928961]",[4.91500595 4.91500595 4.91500595 ... 0.02624592 5.09598071 5.00534074],"[2.74056215e-01 2.74056215e-01 2.74056215e-01 ... 3.05185095e-04
 4.56556902e-01 5.47807245e-01]"
68,"[-0.00103105 -0.00102977 -0.00102849 ...  0.00928703  0.00928831
  0.00928959]",[4.91500595 4.91500595 4.91500595 ... 0.02624592 0.02624592 5.00534074],[0.27405622 0.27405622 0.27405622 ... 0.09155553 0.09155553 0.4565569 ]
69,"[-0.00103104 -0.00102976 -0.00102848 ...  0.00928704  0.00928832
  0.0092896 ]",[4.91500595 4.91500595 4.91500595 ... 0.02624592 4.46211127 5.00534074],[0.27405622 0.27405622 0.27405622 ... 0.09155553 0.09155553 0.54780725]
70,"[-0.00103103 -0.00102975 -0.00102847 ...  0.00928705  0.00928833
  0.00928961]","[ 4.91500595  4.91500595  4.91500595 ... -0.06408887 -0.06408887
  4.91500595]",[0.27405622 0.27405622 0.27405622 ... 0.09155553 0.09155553 0.54780725]
71,"[-0.00103102 -0.00102974 -0.00102846 ...  0.00928706  0.00928834
  0.00928962]","[ 4.91500595  4.91500595  4.91500595 ... -0.06408887  4.91500595
  5.00534074]",[0.27405622 0.27405622 0.27405622 ... 0.09155553 0.18280587 0.54780725]
72,"[-0.00103101 -0.00102973 -0.00102845 ...  0.00928707  0.00928835
  0.00928963]","[ 4.91500595  4.91500595  4.91500595 ... -0.06408887  5.00534074
  5.00534074]",[0.27405622 0.27405622 0.18280587 ... 0.09155553 0.4565569  0.54780725]
73,"[-0.00103101 -0.00102973 -0.00102845 ...  0.00928707  0.00928835
  0.00928963]","[ 5.00534074  4.91500595  4.91500595 ...  0.02624592 -0.06408887
  5.00534074]",[0.27405622 0.27405622 0.27405622 ... 0.09155553 0.09155553 0.54780725]
74,"[-0.00103103 -0.00102975 -0.00102847 ...  0.00928705  0.00928833
  0.00928961]",[4.91500595 4.91500595 4.91500595 ... 0.02624592 5.72985015 5.00534074],"[2.74056215e-01 2.74056215e-01 2.74056215e-01 ... 9.15555284e-02
 3.05185095e-04 5.47807245e-01]"
75,"[-0.00103103 -0.00102975 -0.00102847 ...  0.00928705  0.00928833
  0.00928961]",[4.91500595 4.91500595 4.91500595 ... 0.02624592 4.82436598 5.00534074],[0.27405622 0.27405622 0.27405622 ... 0.09155553 0.09155553 0.54780725]
76,"[-0.00103102 -0.00102974 -0.00102846 ...  0.00928706  0.00928834
  0.00928962]","[ 4.91500595  4.91500595  4.91500595 ... -0.06408887  5.27695547
  5.00534074]",[0.27405622 0.27405622 0.27405622 ... 0.09155553 0.09155553 0.54780725]
77,"[-0.00103102 -0.00102974 -0.00102846 ...  0.00928706  0.00928834
  0.00928962]",[4.91500595 4.91500595 4.91500595 ... 0.02624592 0.02624592 4.91500595],[0.27405622 0.27405622 0.27405622 ... 0.09155553 0.09155553 0.4565569 ]
78,"[-0.00103095 -0.00102967 -0.00102839 ...  0.00928713  0.00928841
  0.00928969]","[ 4.91500595  4.91500595  4.91500595 ...  0.02624592 -0.06408887
  4.91500595]",[0.27405622 0.27405622 0.27405622 ... 0.09155553 0.09155553 0.4565569 ]
79,"[-0.00103104 -0.00102976 -0.00102848 ...  0.00928704  0.00928832
  0.0092896 ]","[ 4.91500595  4.91500595  4.91500595 ... -0.06408887  5.00534074
  5.00534074]","[2.74056215e-01 2.74056215e-01 2.74056215e-01 ... 9.15555284e-02
 3.05185095e-04 5.47807245e-01]"
80,"[-0.00103103 -0.00102975 -0.00102847 ...  0.00928705  0.00928833
  0.00928961]","[ 4.91500595  4.91500595  4.91500595 ...  0.02624592 -0.06408887
  5.00534074]",[0.27405622 0.27405622 0.27405622 ... 0.09155553 0.09155553 0.4565569 ]
81,"[-0.00103103 -0.00102975 -0.00102847 ...  0.00928705  0.00928833
  0.00928961]","[ 4.91500595  4.91500595  4.91500595 ... -0.06408887  5.00534074
  5.00534074]",[0.27405622 0.27405622 0.27405622 ... 0.09155553 0.4565569  0.54780725]
82,"[-0.00103102 -0.00102974 -0.00102846 ...  0.00928706  0.00928834
  0.00928962]","[ 4.91500595  5.00534074  4.91500595 ... -0.06408887  0.02624592
  5.00534074]",[0.27405622 0.27405622 0.27405622 ... 0.09155553 0.09155553 0.4565569 ]
83,"[-0.00103105 -0.00102977 -0.00102849 ...  0.00928703  0.00928831
  0.00928959]",[4.91500595 4.82436598 4.91500595 ... 0.02624592 0.02624592 5.00534074],"[2.74056215e-01 2.74056215e-01 2.74056215e-01 ... 9.15555284e-02
 3.05185095e-04 4.56556902e-01]"
84,"[-0.00103102 -0.00102974 -0.00102846 ...  0.00928706  0.00928834
  0.00928962]","[ 4.91500595  4.91500595  4.91500595 ...  0.02624592 -0.06408887
  5.09598071]",[0.27405622 0.27405622 0.27405622 ... 0.09155553 0.09155553 0.4565569 ]
85,"[-0.00103104 -0.00102976 -0.00102848 ...  0.00928704  0.00928832
  0.0092896 ]",[4.91500595 4.91500595 4.82436598 ... 0.02624592 0.02624592 5.00534074],[0.27405622 0.27405622 0.27405622 ... 0.09155553 0.09155553 0.54780725]
86,"[-0.00103099 -0.00102971 -0.00102843 ...  0.00928709  0.00928837
  0.00928965]","[ 4.91500595  4.91500595  4.91500595 ...  0.02624592 -0.06408887
  5.00534074]",[0.27405622 0.27405622 0.27405622 ... 0.09155553 0.09155553 0.54780725]
87,"[-0.001031   -0.00102972 -0.00102844 ...  0.00928708  0.00928836
  0.00928964]",[4.91500595 4.91500595 4.91500595 ... 0.02624592 0.02624592 5.00534074],[0.27405622 0.27405622 0.18280587 ... 0.09155553 0.09155553 0.54780725]
88,"[-0.00103102 -0.00102974 -0.00102846 ...  0.00928706  0.00928834
  0.00928962]",[4.91500595 4.91500595 4.91500595 ... 0.02624592 4.91500595 4.91500595],[0.27405622 0.27405622 0.27405622 ... 0.09155553 0.4565569  0.54780725]
89,"[-0.00103099 -0.00102971 -0.00102843 ...  0.00928709  0.00928837
  0.00928965]","[ 4.91500595  4.91500595  4.91500595 ... -0.06408887 -0.06408887
  5.00534074]",[0.36530656 0.27405622 0.18280587 ... 0.09155553 0.09155553 0.4565569 ]
90,"[-0.00103104 -0.00102976 -0.00102848 ...  0.00928704  0.00928832
  0.0092896 ]",[4.91500595 4.91500595 4.91500595 ... 0.02624592 5.00534074 5.00534074],[0.27405622 0.27405622 0.27405622 ... 0.09155553 0.4565569  0.54780725]
91,"[-0.00103101 -0.00102973 -0.00102845 ...  0.00928707  0.00928834
  0.00928963]",[4.91500595 4.91500595 4.91500595 ... 0.02624592 5.09598071 5.00534074],[0.27405622 0.27405622 0.27405622 ... 0.09155553 0.4565569  0.54780725]
92,"[-0.00103103 -0.00102975 -0.00102847 ...  0.00928705  0.00928833
  0.00928961]","[ 4.91500595  4.82436598  4.91500595 ... -0.06408887  4.82436598
  5.00534074]","[2.74056215e-01 2.74056215e-01 2.74056215e-01 ... 9.15555284e-02
 3.05185095e-04 5.47807245e-01]"
93,"[-0.00103104 -0.00102976 -0.00102848 ...  0.00928704  0.00928832
  0.0092896 ]",[4.91500595 4.91500595 4.91500595 ... 0.02624592 5.00534074 5.00534074],[0.27405622 0.27405622 0.27405622 ... 0.09155553 0.09155553 0.54780725]
94,"[-0.00103101 -0.00102973 -0.00102845 ...  0.00928707  0.00928835
  0.00928963]","[ 4.91500595  4.91500595  4.91500595 ... -0.06408887  4.91500595
  5.00534074]",[0.27405622 0.27405622 0.27405622 ... 0.09155553 0.4565569  0.54780725]
95,"[-0.00103103 -0.00102975 -0.00102847 ...  0.00928705  0.00928833
  0.00928961]",[4.91500595 4.91500595 4.91500595 ... 0.02624592 0.02624592 5.00534074],[0.27405622 0.18280587 0.18280587 ... 0.09155553 0.09155553 0.54780725]
96,"[-0.00103102 -0.00102974 -0.00102846 ...  0.00928706  0.00928834
  0.00928962]",[4.91500595 4.91500595 4.91500595 ... 0.02624592 4.91500595 4.91500595],[0.27405622 0.27405622 0.27405622 ... 0.09155553 0.4565569  0.54780725]
97,"[-0.00103104 -0.00102976 -0.00102848 ...  0.00928704  0.00928832
  0.0092896 ]","[ 4.91500595  4.91500595  4.91500595 ... -0.06408887  0.02624592
  4.91500595]",[0.36530656 0.27405622 0.27405622 ... 0.09155553 0.09155553 0.4565569 ]
98,"[-0.00103103 -0.00102975 -0.00102847 ...  0.00928705  0.00928833
  0.00928961]",[4.91500595 4.91500595 4.91500595 ... 0.02624592 0.02624592 5.00534074],[0.27405622 0.27405622 0.18280587 ... 0.09155553 0.09155553 0.54780725]
99,"[-0.00103102 -0.00102974 -0.00102846 ...  0.00928706  0.00928834
  0.00928962]","[ 4.91500595  4.82436598  4.91500595 ... -0.06408887  0.02624592
  5.00534074]",[0.27405622 0.27405622 0.18280587 ... 0.09155553 0.09155553 0.54780725]
100,"[-0.00103102 -0.00102974 -0.00102846 ...  0.00928706  0.00928833
  0.00928962]","[ 4.91500595  4.91500595  4.91500595 ... -0.06408887  5.09598071
  5.00534074]",[0.27405622 0.18280587 0.27405622 ... 0.09155553 0.09155553 0.54780725]
